Longitude,Latitude,Accident_Severity,Number_of_Casualties,Number_of_Vehicles,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Vehicle_Type,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Age_of_Vehicle,DateTime
-2.017383,52.955913,Fatal,2,3,1,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Car,Male,49,1589,7,2007-07-15 12:17:00
-2.017383,52.955913,Fatal,2,3,1,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Car,Male,83,1796,1,2007-07-15 12:17:00
-2.017383,52.955913,Fatal,2,3,1,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Car,Male,41,1242,5,2007-07-15 12:17:00
-1.78675,52.694484,Fatal,1,1,4,Dual carriageway,70,Daylight,Fine no high winds,Dry,Car,Female,39,1896,-1,2007-07-18 18:05:00
-2.248726,52.985679,Fatal,1,2,5,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Goods vehicle,Male,53,10308,2,2007-07-19 04:14:00
-2.248726,52.985679,Fatal,1,2,5,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Goods vehicle,Male,32,11000,7,2007-07-19 04:14:00
-2.263298,52.981422,Fatal,2,2,3,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,67,1596,2,2007-07-24 05:39:00
-2.263298,52.981422,Fatal,2,2,3,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,21,1597,9,2007-07-24 05:39:00
-2.18262,52.99308,Fatal,2,1,4,Slip road,50,Daylight,Fine no high winds,Dry,Car,Male,22,1990,12,2007-08-01 19:19:00
-2.079177,52.966406,Fatal,1,1,1,Single carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Car,Male,25,998,3,2007-08-05 01:30:00
-1.655258,52.70703,Fatal,1,2,6,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Pedal cycle,Male,57,-1,-1,2007-07-27 09:15:00
-2.059131,52.787615,Fatal,1,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,22,1299,1,2007-08-25 01:21:00
-2.059131,52.787615,Fatal,1,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,44,1489,9,2007-08-25 01:21:00
-1.90691,52.688616,Fatal,1,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,63,1598,10,2007-08-25 08:20:00
-1.90691,52.688616,Fatal,1,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,65,2967,-1,2007-08-25 08:20:00
-1.694136,52.819689,Fatal,1,2,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Female,37,3824,-1,2007-09-05 13:00:00
-2.257082,52.988088,Fatal,1,2,2,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,19,998,10,2007-09-17 13:00:00
-2.257082,52.988088,Fatal,1,2,2,Single carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,36,12580,2,2007-09-17 13:00:00
-2.117921,52.814091,Fatal,1,2,3,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,33,-1,-1,2007-09-18 16:03:00
-2.117921,52.814091,Fatal,1,2,3,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,34,5480,10,2007-09-18 16:03:00
-1.964335,53.023779,Fatal,1,2,2,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Goods vehicle,Male,44,5480,8,2007-09-17 16:05:00
-2.171064,52.51781,Fatal,2,2,1,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,77,1390,-1,2007-09-23 15:40:00
-2.001299,52.708431,Fatal,1,1,3,Single carriageway,30,Daylight,Other,Wet or damp,Car,Female,31,2198,6,2007-09-25 13:25:00
-1.797631,52.613235,Fatal,1,1,6,Dual carriageway,70,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,30,1598,8,2007-09-28 21:30:00
-2.383171,52.826746,Fatal,1,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,30,1870,10,2007-10-02 05:07:00
-2.383171,52.826746,Fatal,1,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Goods vehicle,Male,50,11600,10,2007-10-02 05:07:00
-1.967897,52.641991,Fatal,1,1,1,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,46,1598,2,2007-10-14 10:03:00
-2.096858,52.816537,Fatal,2,2,3,Single carriageway,50,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Female,26,1119,14,2007-10-16 07:12:00
-2.254746,52.869432,Fatal,1,3,6,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,42,1968,-1,2007-10-19 17:00:00
-2.049282,52.732513,Fatal,3,2,1,Single carriageway,60,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,17,1360,9,2007-10-28 23:20:00
-2.049282,52.732513,Fatal,3,2,1,Single carriageway,60,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Female,71,999,2,2007-10-28 23:20:00
-2.012098,52.686135,Fatal,1,1,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Female,73,1240,3,2007-10-28 20:15:00
-1.795296,52.86009,Fatal,1,2,2,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,68,2720,1,2007-10-29 08:25:00
-1.795296,52.86009,Fatal,1,2,2,Single carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,46,5861,8,2007-10-29 08:25:00
-2.173219,52.615978,Fatal,3,2,7,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Male,-1,3996,6,2007-11-03 14:15:00
-2.173219,52.615978,Fatal,3,2,7,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Male,47,1242,5,2007-11-03 14:15:00
-1.694095,52.613912,Fatal,1,1,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Frost or ice,Car,Not known,-1,-1,-1,2007-11-24 02:08:00
-1.883241,52.909112,Fatal,1,2,1,Slip road,70,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,49,1396,13,2007-11-25 04:00:00
-1.883241,52.909112,Fatal,1,2,1,Slip road,70,Darkness - lights lit,Fine no high winds,Wet or damp,Goods vehicle,Male,-1,5861,7,2007-11-25 04:00:00
-1.628596,52.813928,Fatal,3,1,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,18,1396,10,2007-12-02 01:25:00
-2.133462,52.655945,Fatal,2,2,3,Dual carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Female,18,1299,6,2007-11-27 10:34:00
-2.133462,52.655945,Fatal,2,2,3,Dual carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Female,76,1199,6,2007-11-27 10:34:00
-2.165454,52.867253,Fatal,3,2,7,Dual carriageway,70,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,21,1794,6,2007-12-08 18:06:00
-2.165454,52.867253,Fatal,3,2,7,Dual carriageway,70,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Female,30,999,9,2007-12-08 18:06:00
-1.84658,52.721726,Fatal,3,1,1,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,23,1590,2,2007-12-09 06:10:00
-2.140781,53.046713,Fatal,3,3,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,21,-1,-1,2007-12-14 20:56:00
-2.140781,53.046713,Fatal,3,3,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Not known,-1,1242,7,2007-12-14 20:56:00
-2.140781,53.046713,Fatal,3,3,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Not known,-1,1598,5,2007-12-14 20:56:00
-2.234748,52.466187,Fatal,1,1,6,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,41,1598,10,2007-12-21 18:20:00
-2.218768,53.041202,Fatal,1,1,5,Dual carriageway,70,Darkness - lights lit,Fine no high winds,Wet or damp,Goods vehicle,Male,28,11946,2,2007-12-27 07:25:00
-2.287918,52.177118,Fatal,4,1,4,Single carriageway,60,Darkness - no lighting,Fine + high winds,Wet or damp,Car,Male,17,1119,13,2007-01-03 20:50:00
-1.955434,52.106974,Fatal,2,1,1,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,23,1781,17,2007-02-18 01:20:00
-2.229614,52.242877,Fatal,1,1,6,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,41,1596,13,2007-04-20 23:01:00
-2.078855,52.130422,Fatal,1,1,2,Single carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Male,68,2435,7,2007-06-25 15:30:00
-2.148871,52.273304,Fatal,1,2,5,Dual carriageway,70,Daylight,Fine no high winds,Dry,Car,Male,55,2148,5,2007-07-12 17:27:00
-2.307953,52.113503,Fatal,1,1,2,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,28,1994,7,2007-08-27 21:15:00
-1.920931,52.213945,Fatal,1,3,3,Single carriageway,50,Darkness - no lighting,Fine no high winds,Dry,Car,Male,48,2477,1,2007-09-04 19:50:00
-1.920931,52.213945,Fatal,1,3,3,Single carriageway,50,Darkness - no lighting,Fine no high winds,Dry,Car,Male,33,1796,8,2007-09-04 19:50:00
-2.018664,52.123344,Fatal,5,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Female,49,1598,2,2007-10-02 19:25:00
-2.018664,52.123344,Fatal,5,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,18,1229,2,2007-10-02 19:25:00
-2.239484,52.172012,Fatal,1,2,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,47,1597,10,2007-11-22 17:25:00
-2.239484,52.172012,Fatal,1,2,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Female,32,1598,6,2007-11-22 17:25:00
-1.911709,52.140844,Fatal,3,3,1,Single carriageway,60,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,27,-1,-1,2007-11-25 16:30:00
-1.911709,52.140844,Fatal,3,3,1,Single carriageway,60,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Female,56,1299,6,2007-11-25 16:30:00
-1.911709,52.140844,Fatal,3,3,1,Single carriageway,60,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Female,47,1498,11,2007-11-25 16:30:00
-1.894727,52.092281,Fatal,1,2,7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Goods vehicle,Male,52,12777,1,2007-12-08 08:05:00
-1.894727,52.092281,Fatal,1,2,7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Pedal cycle,Male,37,-1,-1,2007-12-08 08:05:00
-2.222827,52.233,Fatal,1,4,5,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,20,2987,-1,2007-12-13 18:30:00
-2.222827,52.233,Fatal,1,4,5,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,50,1589,7,2007-12-13 18:30:00
-2.222827,52.233,Fatal,1,4,5,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,44,1493,-1,2007-12-13 18:30:00
-2.222827,52.233,Fatal,1,4,5,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,64,1596,20,2007-12-13 18:30:00
-2.234376,52.368284,Fatal,1,2,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,42,1598,6,2007-01-29 07:00:00
-2.321312,52.366641,Fatal,1,3,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,42,1990,2,2007-04-18 18:15:00
-2.321312,52.366641,Fatal,1,3,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,47,1986,1,2007-04-18 18:15:00
-2.321312,52.366641,Fatal,1,3,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Pedal cycle,Male,35,-1,-1,2007-04-18 18:15:00
-2.218619,52.419379,Fatal,1,2,7,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,23,1388,3,2007-07-21 11:42:00
-2.218619,52.419379,Fatal,1,2,7,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,47,1598,4,2007-07-21 11:42:00
-2.221632,52.40445,Fatal,2,2,2,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,62,1597,9,2007-08-20 22:20:00
-2.212764,52.394397,Fatal,3,2,1,Dual carriageway,70,Daylight,Fine no high winds,Wet or damp,Car,Male,43,3996,6,2007-10-28 12:15:00
-2.212764,52.394397,Fatal,3,2,1,Dual carriageway,70,Daylight,Fine no high winds,Wet or damp,Car,Male,22,1199,7,2007-10-28 12:15:00
-2.245094,52.394244,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Goods vehicle,Male,49,1896,8,2007-11-01 18:40:00
-2.006583,52.4114,Fatal,5,3,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,52,2998,15,2007-04-28 17:32:00
-2.006583,52.4114,Fatal,5,3,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,26,-1,-1,2007-04-28 17:32:00
-2.006583,52.4114,Fatal,5,3,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,45,3960,13,2007-04-28 17:32:00
-1.890131,52.29924,Fatal,3,1,6,Single carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Car,Male,19,1527,9,2007-05-04 23:52:00
-2.772856,52.286423,Fatal,1,2,5,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Female,19,1124,6,2007-02-01 17:50:00
-2.772856,52.286423,Fatal,1,2,5,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,56,1997,3,2007-02-01 17:50:00
-2.696383,52.299216,Fatal,3,2,5,Single carriageway,60,Daylight,Fine + high winds,Dry,Goods vehicle,Male,57,-1,-1,2007-01-18 13:38:00
-2.696383,52.299216,Fatal,3,2,5,Single carriageway,60,Daylight,Fine + high winds,Dry,Car,Female,62,1597,8,2007-01-18 13:38:00
-2.572098,52.065405,Fatal,1,1,2,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,44,1986,15,2007-03-12 14:45:00
-2.911027,52.139517,Fatal,1,2,6,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Female,46,1951,3,2007-06-15 17:20:00
-2.911027,52.139517,Fatal,1,2,6,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Female,51,2494,10,2007-06-15 17:20:00
-2.65853,51.851776,Fatal,2,1,7,Dual carriageway,70,Daylight,Fine no high winds,Dry,Car,Male,55,1796,7,2007-08-11 17:25:00
-2.720519,52.042024,Fatal,1,1,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,83,1896,13,2007-08-11 15:19:00
-2.608548,51.913544,Fatal,1,3,2,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,24,1124,9,2007-08-20 21:50:00
-2.608548,51.913544,Fatal,1,3,2,Dual carriageway,70,Darkness - no lighting,Fine no high winds,Dry,Car,Male,20,1468,17,2007-08-20 21:50:00
-2.990603,52.130154,Fatal,2,4,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,21,1984,11,2007-09-29 10:30:00
-2.990603,52.130154,Fatal,2,4,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Female,45,1589,9,2007-09-29 10:30:00
-2.990603,52.130154,Fatal,2,4,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Female,52,1388,8,2007-09-29 10:30:00
-2.990603,52.130154,Fatal,2,4,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,65,1497,4,2007-09-29 10:30:00
-2.456852,52.050894,Fatal,3,3,2,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Female,46,1242,10,2007-10-01 16:20:00
-2.456852,52.050894,Fatal,3,3,2,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Female,49,1796,2,2007-10-01 16:20:00
-2.456852,52.050894,Fatal,3,3,2,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Goods vehicle,Male,37,-1,-1,2007-10-01 16:20:00
-2.631865,52.310008,Fatal,1,3,5,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Female,22,1753,5,2007-10-18 19:38:00
-2.615923,51.910629,Fatal,1,1,1,Dual carriageway,70,Darkness - no lighting,Raining + high winds,Wet or damp,Car,Male,37,-1,-1,2007-10-28 02:05:00
-2.95669,52.204249,Fatal,3,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,44,1124,-1,2007-10-20 17:00:00
-2.95669,52.204249,Fatal,3,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,52,1850,7,2007-10-20 17:00:00
-2.453168,52.119148,Fatal,1,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,39,1997,5,2007-11-13 19:20:00
-2.453168,52.119148,Fatal,1,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Goods vehicle,Not known,-1,-1,-1,2007-11-13 19:20:00
-2.729293,52.097354,Fatal,4,2,1,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,22,1149,7,2007-11-18 11:25:00
-2.729293,52.097354,Fatal,4,2,1,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,76,1997,3,2007-11-18 11:25:00
-2.586109,51.909702,Fatal,1,1,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,22,1896,6,2007-11-17 17:26:00
-2.730959,52.002759,Fatal,1,2,5,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,26,1998,5,2007-11-29 19:10:00
-2.730959,52.002759,Fatal,1,2,5,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Goods vehicle,Male,43,12600,5,2007-11-29 19:10:00
-2.530947,52.187153,Fatal,3,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,40,1493,13,2007-12-18 19:40:00
-2.530947,52.187153,Fatal,3,2,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Female,27,1997,6,2007-12-18 19:40:00
-3.101175,52.08188,Fatal,2,2,7,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,60,2926,4,2007-12-22 13:43:00
-3.101175,52.08188,Fatal,2,2,7,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,26,1905,10,2007-12-22 13:43:00
-2.731127,52.129171,Fatal,2,2,3,Dual carriageway,70,Darkness - no lighting,Other,Wet or damp,Car,Male,21,1998,10,2007-11-13 00:50:00
-2.731127,52.129171,Fatal,2,2,3,Dual carriageway,70,Darkness - no lighting,Other,Wet or damp,Car,Male,19,-1,-1,2007-11-13 00:50:00
-2.660692,52.913715,Fatal,1,2,3,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Goods vehicle,Male,59,6871,11,2007-01-02 08:45:00
-2.660692,52.913715,Fatal,1,2,3,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Not known,-1,-1,-1,2007-01-02 08:45:00
-2.422127,52.542623,Fatal,1,2,5,Single carriageway,60,Darkness - no lighting,Raining + high winds,Wet or damp,Car,Male,49,2993,1,2007-01-18 05:47:00
-2.422127,52.542623,Fatal,1,2,5,Single carriageway,60,Darkness - no lighting,Raining + high winds,Wet or damp,Car,Male,32,1596,8,2007-01-18 05:47:00
-2.477191,52.602827,Fatal,3,3,4,Single carriageway,60,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,23,1527,9,2007-01-24 17:41:00
-2.477191,52.602827,Fatal,3,3,4,Single carriageway,60,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Female,67,1590,5,2007-01-24 17:41:00
-2.477191,52.602827,Fatal,3,3,4,Single carriageway,60,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,34,973,9,2007-01-24 17:41:00
-2.81207,52.809574,Fatal,3,1,1,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,27,-1,-1,2007-02-04 18:10:00
-2.345815,52.513832,Fatal,2,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,45,1905,9,2007-03-17 14:40:00
-2.559681,52.83018,Fatal,1,2,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,46,-1,-1,2007-05-09 05:30:00
-2.559681,52.83018,Fatal,1,2,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,37,1598,10,2007-05-09 05:30:00
-2.37392,52.526513,Fatal,4,2,1,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Female,46,1196,12,2007-05-20 15:10:00
-2.552556,52.87696,Fatal,2,2,3,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Female,66,1587,2,2007-05-29 11:15:00
-2.552556,52.87696,Fatal,2,2,3,Single carriageway,60,Daylight,Fine no high winds,Wet or damp,Goods vehicle,Male,26,2151,4,2007-05-29 11:15:00
-3.052631,52.861534,Fatal,2,1,2,One way street,30,Daylight,Fine no high winds,Dry,Car,Male,86,1198,1,2007-06-04 11:15:00
-2.838014,52.630941,Fatal,1,2,7,Single carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Female,22,1396,12,2007-06-30 18:15:00
-2.391843,52.453455,Fatal,1,1,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,63,-1,-1,2007-07-16 16:46:00
-2.828353,52.46343,Fatal,2,4,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,70,1870,13,2007-07-25 14:40:00
-2.828353,52.46343,Fatal,2,4,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,36,1360,1,2007-07-25 14:40:00
-2.828353,52.46343,Fatal,2,4,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,78,1389,9,2007-07-25 14:40:00
-2.828353,52.46343,Fatal,2,4,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,50,1995,1,2007-07-25 14:40:00
-2.81795,52.52158,Fatal,2,3,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,37,2496,4,2007-07-25 18:12:00
-2.81795,52.52158,Fatal,2,3,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,49,-1,-1,2007-07-25 18:12:00
-2.81795,52.52158,Fatal,2,3,4,Single carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,40,11946,3,2007-07-25 18:12:00
-2.727473,52.727595,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,29,2496,9,2007-08-08 13:39:00
-2.727473,52.727595,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,68,1598,7,2007-08-08 13:39:00
-2.413674,52.49042,Fatal,1,1,1,Single carriageway,40,Darkness - no lighting,Raining no high winds,Wet or damp,Car,Male,23,1396,10,2007-08-12 02:35:00
-2.342244,52.509438,Fatal,1,2,1,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2007-09-16 12:15:00
-2.258525,52.630027,Fatal,2,2,5,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Female,33,-1,-1,2007-10-11 16:35:00
-2.750891,52.80638,Fatal,1,1,7,Single carriageway,60,Darkness - no lighting,Fine no high winds,Wet or damp,Car,Male,21,1360,10,2007-10-13 02:35:00
-2.429208,52.376368,Fatal,1,1,6,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,65,1599,-1,2007-10-19 23:30:00
-2.733093,52.382066,Fatal,1,1,3,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Female,62,-1,-1,2007-10-30 18:53:00
-2.418475,52.530679,Fatal,1,1,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,59,-1,-1,2007-09-15 14:25:00
-2.806303,52.714319,Fatal,1,1,4,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,45,1560,-1,2007-11-21 18:10:00
-2.43935,52.37696,Fatal,1,1,2,Single carriageway,60,Darkness - no lighting,Fine no high winds,Frost or ice,Car,Male,32,1527,13,2007-11-12 18:55:00
-2.820742,52.726447,Fatal,2,1,1,Single carriageway,60,Darkness - no lighting,Raining + high winds,Wet or damp,Car,Male,19,1905,14,2007-12-09 22:45:00
-2.653788,52.741419,Fatal,1,2,2,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,60,1332,11,2007-01-15 11:15:00
-2.337939,52.735368,Fatal,1,2,6,Single carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,43,-1,-1,2007-03-09 17:20:00
-2.337939,52.735368,Fatal,1,2,6,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,62,1997,7,2007-03-09 17:20:00
-2.553021,52.784903,Fatal,2,2,5,Single carriageway,60,Darkness - no lighting,Fine no high winds,Dry,Car,Male,58,1998,13,2007-05-03 21:34:00
-2.434951,52.646501,Fatal,1,2,2,Dual carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,20,1590,13,2007-05-07 06:10:00
-2.434951,52.646501,Fatal,1,2,2,Dual carriageway,60,Daylight,Fine no high winds,Wet or damp,Car,Male,18,1905,9,2007-05-07 06:10:00
-1.60687,52.010934,Fatal,1,2,3,Single carriageway,60,Daylight,Fine no high winds,Frost or ice,Car,Female,76,-1,-1,2007-01-23 08:50:00
-1.60687,52.010934,Fatal,1,2,3,Single carriageway,60,Daylight,Fine no high winds,Frost or ice,Goods vehicle,Male,50,1753,1,2007-01-23 08:50:00
-1.733721,52.338279,Fatal,1,1,2,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Car,Male,47,-1,-1,2007-03-19 20:15:00
-1.781241,52.226175,Fatal,1,1,5,Single carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Male,69,1124,6,2007-05-10 15:59:00
-1.519053,52.278442,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Male,30,-1,-1,2007-05-12 06:05:00
-1.519053,52.278442,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Male,-1,2598,15,2007-05-12 06:05:00
-1.611084,52.196787,Fatal,4,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,21,1905,10,2007-05-26 10:18:00
-1.611084,52.196787,Fatal,4,2,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,63,1560,3,2007-05-26 10:18:00
-1.619593,52.039657,Fatal,1,2,6,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,59,-1,-1,2007-06-01 12:30:00
-1.909818,52.208902,Fatal,3,3,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,45,-1,-1,2007-07-07 15:28:00
-1.909818,52.208902,Fatal,3,3,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,50,-1,-1,2007-07-07 15:28:00
-1.909818,52.208902,Fatal,3,3,7,Single carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,52,1993,11,2007-07-07 15:28:00
-1.769193,52.347344,Fatal,1,3,2,Single carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Male,24,1850,5,2007-07-16 19:45:00
-1.769193,52.347344,Fatal,1,3,2,Single carriageway,60,Daylight,Raining no high winds,Wet or damp,Car,Female,53,1598,3,2007-07-16 19:45:00
