Longitude,Latitude,Number_of_Casualties,Number_of_Vehicles,Speed_limit,Weather_Conditions,Vehicle_Type,DateTime
-1.080722,53.427179,3,2,60,Fine + high winds,Goods vehicle,2007-09-27 16:39:00
-1.164573,53.47211,2,4,70,Fine no high winds,Goods vehicle,2007-10-11 05:05:00
-1.164573,53.47211,2,4,70,Fine no high winds,Car,2007-10-11 05:05:00
-1.164573,53.47211,2,4,70,Fine no high winds,Goods vehicle,2007-10-11 05:05:00
-1.164573,53.47211,2,4,70,Fine no high winds,Car,2007-10-11 05:05:00
-0.932592,53.590626,2,1,60,Fine no high winds,Car,2007-10-11 20:36:00
-1.252722,53.488514,1,2,30,Fine no high winds,Car,2007-10-28 16:26:00
-0.96697,53.599647,2,2,60,Fine no high winds,Car,2007-11-16 10:20:00
-0.96697,53.599647,2,2,60,Fine no high winds,Car,2007-11-16 10:20:00
-1.206637,53.486689,1,1,60,Raining no high winds,Car,2007-11-20 21:46:00
-1.454819,53.560078,3,2,30,Fine no high winds,Car,2007-05-17 16:05:00
-1.342031,53.531736,1,2,60,Fine no high winds,Goods vehicle,2007-07-06 08:25:00
-1.342031,53.531736,1,2,60,Fine no high winds,Car,2007-07-06 08:25:00
-1.434692,53.56367,1,1,40,Fine no high winds,Car,2007-08-25 01:15:00
-1.389851,53.59509,2,5,30,Fine no high winds,Car,2007-09-28 05:40:00
-1.389851,53.59509,2,5,30,Fine no high winds,Car,2007-09-28 05:40:00
-1.389851,53.59509,2,5,30,Fine no high winds,Car,2007-09-28 05:40:00
-1.389851,53.59509,2,5,30,Fine no high winds,Car,2007-09-28 05:40:00
-1.389851,53.59509,2,5,30,Fine no high winds,Car,2007-09-28 05:40:00
-1.499085,53.557396,1,1,30,Fine no high winds,Car,2007-10-25 19:30:00
-1.499283,53.476678,1,1,60,Fine no high winds,Car,2007-11-03 21:37:00
-1.551284,53.589063,1,1,60,Fine + high winds,Car,2007-11-08 13:20:00
-1.403258,53.544372,3,1,60,Fine no high winds,Car,2007-11-15 00:25:00
-1.547345,53.5477,1,1,60,Raining + high winds,Car,2007-12-08 11:32:00
-1.482524,53.516606,1,1,60,Fine no high winds,Car,2007-12-12 18:50:00
-1.318478,53.372951,1,1,30,Fine + high winds,Car,2007-01-12 22:58:00
-1.377162,53.450935,1,1,40,Raining no high winds,Car,2007-01-21 17:29:00
-1.323079,53.367134,2,1,30,Fine no high winds,Car,2007-02-07 09:35:00
-1.138567,53.3948,2,2,60,Fine no high winds,Car,2007-04-28 19:12:00
-1.250054,53.391957,1,4,30,Fine no high winds,Car,2007-06-21 10:35:00
-1.250054,53.391957,1,4,30,Fine no high winds,Car,2007-06-21 10:35:00
-1.250054,53.391957,1,4,30,Fine no high winds,Car,2007-06-21 10:35:00
-1.250054,53.391957,1,4,30,Fine no high winds,Car,2007-06-21 10:35:00
-1.207565,53.428807,4,2,40,Raining no high winds,Car,2007-07-02 23:00:00
-1.207565,53.428807,4,2,40,Raining no high winds,Car,2007-07-02 23:00:00
-1.283134,53.311529,1,2,70,Fine no high winds,Goods vehicle,2007-07-17 16:45:00
-1.283134,53.311529,1,2,70,Fine no high winds,Goods vehicle,2007-07-17 16:45:00
-1.351899,53.438756,1,1,30,Fine no high winds,Car,2007-09-15 02:12:00
-1.366796,53.489802,2,2,60,Fine no high winds,Goods vehicle,2007-11-07 06:26:00
-1.366796,53.489802,2,2,60,Fine no high winds,Car,2007-11-07 06:26:00
-1.340379,53.414693,1,1,40,Fine no high winds,Car,2007-12-23 10:55:00
-1.280126,53.463424,5,2,60,Fine no high winds,Car,2007-12-30 03:25:00
-1.280126,53.463424,5,2,60,Fine no high winds,Car,2007-12-30 03:25:00
-1.39185,53.381977,1,1,70,Fine no high winds,Car,2007-04-11 14:32:00
-1.426036,53.433472,2,2,70,Fine no high winds,Car,2007-12-04 00:29:00
-1.426036,53.433472,2,2,70,Fine no high winds,Car,2007-12-04 00:29:00
-1.402771,53.364324,1,1,30,Fine no high winds,Goods vehicle,2007-12-19 07:10:00
-1.42707,53.356532,1,2,40,Fine no high winds,Pedal cycle,2007-04-25 17:18:00
-1.425961,53.371988,4,2,30,Fine no high winds,Car,2007-08-21 21:27:00
-1.45744,53.47317,1,1,70,Raining no high winds,Goods vehicle,2007-09-25 00:45:00
-1.57781,53.322014,4,2,60,Raining + high winds,Car,2007-11-10 13:20:00
-1.57781,53.322014,4,2,60,Raining + high winds,Car,2007-11-10 13:20:00
-1.444628,53.450549,5,4,70,Raining no high winds,Car,2007-12-25 18:17:00
-1.444628,53.450549,5,4,70,Raining no high winds,Car,2007-12-25 18:17:00
-1.444628,53.450549,5,4,70,Raining no high winds,Car,2007-12-25 18:17:00
-1.444628,53.450549,5,4,70,Raining no high winds,Car,2007-12-25 18:17:00
-0.046549,53.568471,1,1,30,Fine + high winds,Goods vehicle,2007-01-15 10:45:00
-0.123752,53.540489,2,1,60,Fine no high winds,Car,2007-01-27 08:30:00
-0.108504,53.577827,2,2,30,Fine no high winds,Goods vehicle,2007-08-15 12:48:00
-0.108504,53.577827,2,2,30,Fine no high winds,Pedal cycle,2007-08-15 12:48:00
-0.159036,53.541218,4,3,70,Fine no high winds,Car,2007-10-28 18:25:00
-0.159036,53.541218,4,3,70,Fine no high winds,Car,2007-10-28 18:25:00
-0.159036,53.541218,4,3,70,Fine no high winds,Car,2007-10-28 18:25:00
-0.123482,53.539766,5,3,60,Fine no high winds,Car,2007-12-07 14:31:00
-0.559264,53.585904,4,1,60,Fine no high winds,Car,2007-01-28 14:20:00
-0.470509,53.562868,1,1,60,Fine no high winds,Car,2007-06-22 12:35:00
-0.502375,53.677975,3,1,60,Fine no high winds,Car,2007-09-03 01:59:00
-0.43811,53.581596,2,1,70,Fine no high winds,Car,2007-09-05 18:40:00
-0.665716,53.63559,2,3,60,Fine no high winds,Car,2007-09-10 16:25:00
-0.675641,53.564955,1,2,30,Fine no high winds,Car,2007-10-05 13:30:00
-0.675641,53.564955,1,2,30,Fine no high winds,Goods vehicle,2007-10-05 13:30:00
-0.527725,53.550102,2,1,60,Fine no high winds,Goods vehicle,2007-12-01 00:05:00
-0.684221,53.648469,1,1,30,Fine no high winds,Car,2007-12-22 20:09:00
-0.448315,53.961881,1,1,60,Fine no high winds,Goods vehicle,2007-01-02 18:00:00
-0.45696,54.000195,2,4,60,Fine + high winds,Car,2007-01-11 17:15:00
-0.45696,54.000195,2,4,60,Fine + high winds,Car,2007-01-11 17:15:00
-0.45696,54.000195,2,4,60,Fine + high winds,Car,2007-01-11 17:15:00
-0.764717,53.932384,2,1,30,Fine no high winds,Car,2007-01-18 23:15:00
-0.478562,53.83022,1,1,60,Raining no high winds,Goods vehicle,2007-01-19 18:55:00
-0.874151,54.014625,2,2,60,Fine no high winds,Car,2007-03-25 15:45:00
-0.533578,53.973379,1,4,60,Fine no high winds,Car,2007-03-25 11:22:00
-0.533578,53.973379,1,4,60,Fine no high winds,Car,2007-03-25 11:22:00
-0.533578,53.973379,1,4,60,Fine no high winds,Car,2007-03-25 11:22:00
-0.359116,54.152429,6,2,60,Fine no high winds,Car,2007-03-30 18:45:00
-0.359116,54.152429,6,2,60,Fine no high winds,Car,2007-03-30 18:45:00
-0.774003,54.000073,1,1,60,Fine no high winds,Car,2007-04-08 19:59:00
-0.272393,53.995347,6,2,60,Fine no high winds,Car,2007-04-15 17:00:00
-0.272393,53.995347,6,2,60,Fine no high winds,Car,2007-04-15 17:00:00
-0.631303,54.048059,3,3,60,Fine no high winds,Car,2007-04-30 11:34:00
-0.631303,54.048059,3,3,60,Fine no high winds,Car,2007-04-30 11:34:00
-0.239286,54.056801,1,1,60,Fine no high winds,Car,2007-05-27 19:00:00
-0.287838,53.938667,6,2,60,Fine no high winds,Car,2007-06-17 20:20:00
-0.287838,53.938667,6,2,60,Fine no high winds,Car,2007-06-17 20:20:00
-0.431268,54.01802,1,1,60,Fine no high winds,Goods vehicle,2007-08-02 11:04:00
-0.090632,53.672656,3,1,60,Fine no high winds,Car,2007-08-24 16:00:00
-0.914059,53.706415,2,2,40,Fine no high winds,Car,2007-08-28 16:39:00
-0.914059,53.706415,2,2,40,Fine no high winds,Goods vehicle,2007-08-28 16:39:00
-0.525116,53.971208,7,2,60,Fine no high winds,Car,2007-09-03 17:08:00
-0.525116,53.971208,7,2,60,Fine no high winds,Goods vehicle,2007-09-03 17:08:00
-0.076224,53.762863,3,2,60,Fine no high winds,Car,2007-10-03 16:07:00
-0.076224,53.762863,3,2,60,Fine no high winds,Car,2007-10-03 16:07:00
-0.953229,53.690854,9,7,70,Fine no high winds,Goods vehicle,2007-10-19 18:45:00
-0.953229,53.690854,9,7,70,Fine no high winds,Car,2007-10-19 18:45:00
-0.953229,53.690854,9,7,70,Fine no high winds,Car,2007-10-19 18:45:00
-0.953229,53.690854,9,7,70,Fine no high winds,Car,2007-10-19 18:45:00
-0.953229,53.690854,9,7,70,Fine no high winds,Car,2007-10-19 18:45:00
-0.953229,53.690854,9,7,70,Fine no high winds,Goods vehicle,2007-10-19 18:45:00
-0.953229,53.690854,9,7,70,Fine no high winds,Car,2007-10-19 18:45:00
-0.512403,53.741383,2,2,60,Fine no high winds,Goods vehicle,2007-10-04 08:50:00
-0.512403,53.741383,2,2,60,Fine no high winds,Car,2007-10-04 08:50:00
-0.415348,53.781939,1,1,30,Fine no high winds,Car,2007-10-30 15:25:00
-0.503022,53.749357,2,4,60,Fine no high winds,Car,2007-11-02 08:20:00
-0.503022,53.749357,2,4,60,Fine no high winds,Car,2007-11-02 08:20:00
-0.503022,53.749357,2,4,60,Fine no high winds,Goods vehicle,2007-11-02 08:20:00
-0.503022,53.749357,2,4,60,Fine no high winds,Car,2007-11-02 08:20:00
-0.448759,53.962247,2,2,60,Raining no high winds,Goods vehicle,2007-11-11 09:07:00
-0.843248,53.686516,1,1,60,Fine no high winds,Car,2007-12-02 21:49:00
-0.623871,53.819661,3,2,60,Fine no high winds,Car,2007-12-05 20:18:00
-0.623871,53.819661,3,2,60,Fine no high winds,Car,2007-12-05 20:18:00
-0.307596,53.774084,2,2,30,Fine + high winds,Car,2007-01-12 05:32:00
-0.366802,53.730498,1,1,40,Fine no high winds,Goods vehicle,2007-01-23 03:35:00
-0.375924,53.761276,1,1,30,Fine no high winds,Car,2007-02-13 00:23:00
-0.337438,53.740881,1,1,40,Raining no high winds,Car,2007-05-16 22:55:00
-0.283212,53.776614,3,2,30,Fine no high winds,Car,2007-12-07 03:20:00
-0.283212,53.776614,3,2,30,Fine no high winds,Car,2007-12-07 03:20:00
-0.327675,53.769062,1,1,30,Fine no high winds,Car,2007-12-01 17:56:00
-1.118316,54.53355,1,1,70,Fine no high winds,Car,2007-03-02 00:40:00
-1.122272,54.565214,2,1,60,Fine no high winds,Car,2007-10-19 20:26:00
-1.234186,54.552044,1,1,30,Fine no high winds,Goods vehicle,2007-12-19 12:04:00
-1.421449,54.560903,1,1,60,Fine + high winds,Car,2007-01-04 01:20:00
-1.372141,54.589596,1,3,60,Fine no high winds,Car,2007-03-26 17:34:00
-1.372141,54.589596,1,3,60,Fine no high winds,Car,2007-03-26 17:34:00
-1.372141,54.589596,1,3,60,Fine no high winds,Goods vehicle,2007-03-26 17:34:00
-1.359927,54.519701,2,3,30,Fog or mist,Car,2007-04-14 08:05:00
-1.359927,54.519701,2,3,30,Fog or mist,Car,2007-04-14 08:05:00
-1.359927,54.519701,2,3,30,Fog or mist,Car,2007-04-14 08:05:00
-1.363475,54.539941,2,1,60,Raining no high winds,Car,2007-09-28 02:44:00
-1.409476,54.565428,1,2,60,Fine no high winds,Goods vehicle,2007-10-29 13:31:00
-1.409476,54.565428,1,2,60,Fine no high winds,Pedal cycle,2007-10-29 13:31:00
-1.321086,54.560831,1,2,30,Fine no high winds,Car,2007-12-11 20:10:00
-1.321086,54.560831,1,2,30,Fine no high winds,Pedal cycle,2007-12-11 20:10:00
-1.336225,54.580866,1,1,30,Fine no high winds,Car,2007-12-23 09:05:00
-1.256151,54.593971,3,1,40,Fine no high winds,Car,2007-10-25 00:14:00
-1.254851,54.605826,2,2,60,Fine no high winds,Car,2007-12-11 07:31:00
-1.254851,54.605826,2,2,60,Fine no high winds,Goods vehicle,2007-12-11 07:31:00
-1.825395,52.465123,2,2,30,Fine no high winds,Pedal cycle,2007-04-05 16:51:00
-1.825395,52.465123,2,2,30,Fine no high winds,Goods vehicle,2007-04-05 16:51:00
-1.857305,52.520275,2,2,30,Fine no high winds,Goods vehicle,2007-05-01 10:10:00
-1.809534,52.524793,2,2,40,Fine no high winds,Car,2007-05-22 08:55:00
-1.809534,52.524793,2,2,40,Fine no high winds,Car,2007-05-22 08:55:00
-1.806813,52.473185,1,1,30,Fine no high winds,Goods vehicle,2007-06-07 11:18:00
-1.817631,52.491632,1,1,30,Fine no high winds,Goods vehicle,2007-08-06 10:08:00
-1.817247,52.548718,4,1,30,Fine no high winds,Car,2007-12-01 05:47:00
-1.835517,52.513774,1,1,30,Fine no high winds,Car,2007-12-29 21:41:00
-1.915827,52.436453,1,1,30,Fine no high winds,Car,2007-02-01 10:35:00
-1.841908,52.416419,2,1,30,Fine no high winds,Car,2007-02-02 02:58:00
-1.978359,52.405285,1,2,40,Fine no high winds,Car,2007-04-05 18:04:00
-1.896223,52.453069,3,1,30,Fine no high winds,Car,2007-06-08 00:10:00
-1.992318,52.43927,1,2,30,Fine no high winds,Car,2007-06-02 16:50:00
-1.992318,52.43927,1,2,30,Fine no high winds,Car,2007-06-02 16:50:00
-1.936598,52.415159,1,1,30,Raining no high winds,Car,2007-06-29 05:04:00
-1.899022,52.451903,1,1,30,Fine no high winds,Car,2007-07-31 17:04:00
-2.007471,52.443855,1,2,30,Fine no high winds,Pedal cycle,2007-10-11 06:40:00
-2.007471,52.443855,1,2,30,Fine no high winds,Car,2007-10-11 06:40:00
-1.972019,52.435221,1,4,30,Raining no high winds,Car,2007-11-11 12:20:00
-1.972019,52.435221,1,4,30,Raining no high winds,Car,2007-11-11 12:20:00
-1.972019,52.435221,1,4,30,Raining no high winds,Car,2007-11-11 12:20:00
-1.943155,52.461192,1,1,30,Fine no high winds,Car,2007-04-01 20:31:00
-1.913067,52.493179,1,1,40,Fine no high winds,Car,2007-12-21 02:20:00
-2.086648,52.606184,2,4,30,Fine no high winds,Car,2007-01-07 00:15:00
-2.086648,52.606184,2,4,30,Fine no high winds,Car,2007-01-07 00:15:00
-2.086648,52.606184,2,4,30,Fine no high winds,Goods vehicle,2007-01-07 00:15:00
-2.086648,52.606184,2,4,30,Fine no high winds,Car,2007-01-07 00:15:00
-2.121976,52.566147,1,1,30,Fine no high winds,Car,2007-01-27 18:55:00
-2.126183,52.592394,2,3,40,Fine no high winds,Car,2007-04-15 18:00:00
-2.126183,52.592394,2,3,40,Fine no high winds,Car,2007-04-15 18:00:00
-2.089575,52.593326,1,1,30,Fine no high winds,Car,2007-12-27 16:48:00
-1.960392,52.606389,2,1,30,Fine no high winds,Goods vehicle,2007-03-08 08:47:00
-1.89715,52.560682,3,2,30,Fine no high winds,Car,2007-03-10 13:30:00
-1.913864,52.613107,1,1,30,Fine no high winds,Car,2007-04-29 00:50:00
-1.880749,52.570735,1,1,30,Fine no high winds,Goods vehicle,2007-05-21 16:25:00
-1.95644,52.570967,6,2,30,Raining no high winds,Car,2007-07-21 17:25:00
-1.95644,52.570967,6,2,30,Raining no high winds,Goods vehicle,2007-07-21 17:25:00
-1.95019,52.617622,1,2,30,Fine no high winds,Goods vehicle,2007-08-16 15:00:00
-1.95019,52.617622,1,2,30,Fine no high winds,Car,2007-08-16 15:00:00
-2.014,52.620059,1,1,30,Fine no high winds,Goods vehicle,2007-07-16 09:25:00
-2.034943,52.579241,4,3,30,Fine no high winds,Car,2007-09-07 12:55:00
-2.034943,52.579241,4,3,30,Fine no high winds,Car,2007-09-07 12:55:00
-2.034943,52.579241,4,3,30,Fine no high winds,Car,2007-09-07 12:55:00
-2.056494,52.583188,1,1,30,Fine no high winds,Goods vehicle,2007-12-28 14:08:00
-2.094862,52.512591,1,2,30,Fine no high winds,Car,2007-02-18 17:10:00
-2.083658,52.509633,1,1,30,Fine no high winds,Car,2007-03-21 10:53:00
-2.063328,52.511983,2,2,30,Fine no high winds,Car,2007-05-15 09:14:00
-2.159384,52.507308,2,2,30,Fine no high winds,Car,2007-07-14 19:45:00
-2.159384,52.507308,2,2,30,Fine no high winds,Car,2007-07-14 19:45:00
-2.076855,52.494984,1,1,30,Fine no high winds,Car,2007-07-28 18:40:00
-2.04765,52.45769,2,4,40,Fine no high winds,Car,2007-08-22 05:45:00
-2.04765,52.45769,2,4,40,Fine no high winds,Car,2007-08-22 05:45:00
-2.04765,52.45769,2,4,40,Fine no high winds,Car,2007-08-22 05:45:00
-2.04765,52.45769,2,4,40,Fine no high winds,Car,2007-08-22 05:45:00
-2.119173,52.511491,2,1,40,Fine no high winds,Car,2007-09-08 10:57:00
-2.160405,52.50434,1,1,30,Fine no high winds,Car,2007-10-09 13:20:00
-2.081085,52.552428,1,1,30,Raining no high winds,Goods vehicle,2007-09-21 20:55:00
-2.004388,52.520001,2,2,30,Fine no high winds,Car,2007-08-24 22:00:00
-1.782695,52.437902,2,2,30,Fine no high winds,Car,2007-03-14 11:14:00
-1.677991,52.392801,1,2,60,Raining + high winds,Car,2007-03-18 00:50:00
-1.677991,52.392801,1,2,60,Raining + high winds,Pedal cycle,2007-03-18 00:50:00
-1.823949,52.421608,1,3,30,Fine no high winds,Car,2007-03-16 06:26:00
-1.823949,52.421608,1,3,30,Fine no high winds,Car,2007-03-16 06:26:00
-1.823949,52.421608,1,3,30,Fine no high winds,Car,2007-03-16 06:26:00
-1.79563,52.408257,3,2,30,Fine no high winds,Car,2007-03-28 20:05:00
-1.797397,52.407541,4,1,30,Fine no high winds,Car,2007-05-26 05:27:00
-1.735879,52.44401,1,1,60,Fine no high winds,Car,2007-08-06 04:01:00
-1.54005,52.38812,1,1,40,Fine no high winds,Car,2007-02-22 20:30:00
-1.511176,52.434664,3,1,30,Fine no high winds,Car,2007-04-05 20:40:00
-1.44378,52.425106,2,3,40,Raining no high winds,Car,2007-05-11 17:24:00
-1.44378,52.425106,2,3,40,Raining no high winds,Car,2007-05-11 17:24:00
-1.44378,52.425106,2,3,40,Raining no high winds,Car,2007-05-11 17:24:00
-1.500973,52.42635,1,2,30,Raining no high winds,Car,2007-05-31 18:55:00
-1.480635,52.404955,3,2,30,Fine no high winds,Car,2007-07-29 20:00:00
-1.483707,52.406227,1,1,30,Raining no high winds,Car,2007-07-28 21:25:00
-1.487555,52.429349,1,2,30,Fine no high winds,Pedal cycle,2007-10-25 14:27:00
-1.676277,52.786739,1,1,70,Fine no high winds,Car,2007-01-01 09:30:00
-2.130718,52.875836,2,3,60,Fine no high winds,Car,2007-01-05 19:51:00
-2.130718,52.875836,2,3,60,Fine no high winds,Car,2007-01-05 19:51:00
-2.130718,52.875836,2,3,60,Fine no high winds,Car,2007-01-05 19:51:00
-1.766123,53.009621,3,2,40,Raining no high winds,Car,2007-01-09 15:55:00
-1.766123,53.009621,3,2,40,Raining no high winds,Goods vehicle,2007-01-09 15:55:00
-2.157697,52.899356,1,2,30,Fine no high winds,Car,2007-01-20 19:33:00
-2.157697,52.899356,1,2,30,Fine no high winds,Goods vehicle,2007-01-20 19:33:00
-2.235371,52.527769,3,3,60,Raining no high winds,Car,2007-01-20 23:37:00
-2.235371,52.527769,3,3,60,Raining no high winds,Car,2007-01-20 23:37:00
-2.235371,52.527769,3,3,60,Raining no high winds,Car,2007-01-20 23:37:00
-1.767156,53.01151,2,2,50,Fine no high winds,Car,2007-02-03 16:30:00
-1.965922,52.711842,3,3,30,Fine no high winds,Car,2007-02-11 19:10:00
-1.965922,52.711842,3,3,30,Fine no high winds,Car,2007-02-11 19:10:00
-2.193398,52.536295,1,1,30,Fine no high winds,Car,2007-02-13 18:51:00
-2.216505,52.976483,1,2,60,Raining no high winds,Car,2007-02-16 05:25:00
-2.216505,52.976483,1,2,60,Raining no high winds,Goods vehicle,2007-02-16 05:25:00
-2.215507,52.895579,2,4,60,Fine no high winds,Car,2007-02-23 08:20:00
-2.215507,52.895579,2,4,60,Fine no high winds,Car,2007-02-23 08:20:00
-2.215507,52.895579,2,4,60,Fine no high winds,Goods vehicle,2007-02-23 08:20:00
-2.154428,53.025122,1,1,30,Fine no high winds,Car,2007-03-06 18:38:00
-1.957601,53.200414,3,2,60,Raining + high winds,Car,2007-04-03 08:13:00
-1.957601,53.200414,3,2,60,Raining + high winds,Goods vehicle,2007-04-03 08:13:00
-2.047474,52.840659,5,2,60,Fine no high winds,Car,2007-04-07 23:00:00
-2.047474,52.840659,5,2,60,Fine no high winds,Car,2007-04-07 23:00:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Car,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-2.333675,53.068442,5,8,70,Fog or mist,Goods vehicle,2007-04-05 03:52:00
-1.98611,52.996006,1,1,30,Fine no high winds,Car,2007-04-10 03:35:00
-1.903234,52.745249,2,3,30,Fine no high winds,Goods vehicle,2007-04-20 11:10:00
-2.008699,52.705553,1,1,30,Raining no high winds,Car,2007-04-23 23:20:00
-1.781593,52.808555,1,2,50,Fine no high winds,Car,2007-05-06 14:45:00
-2.213237,53.038515,1,1,70,Fine no high winds,Car,2007-05-24 23:00:00
-2.062801,52.65897,2,2,50,Fine no high winds,Goods vehicle,2007-05-29 21:23:00
-1.830411,52.729615,1,1,60,Fine no high winds,Car,2007-06-03 05:15:00
-2.084317,53.006405,3,2,60,Fine no high winds,Car,2007-06-03 15:20:00
-2.154485,52.790316,3,2,60,Fine no high winds,Car,2007-06-05 13:15:00
-2.154485,52.790316,3,2,60,Fine no high winds,Goods vehicle,2007-06-05 13:15:00
-2.320887,52.954223,2,3,60,Fine no high winds,Car,2007-06-05 14:40:00
-2.320887,52.954223,2,3,60,Fine no high winds,Car,2007-06-05 14:40:00
-2.177748,53.112735,3,2,30,Fine no high winds,Car,2007-06-16 21:45:00
-2.125933,52.916384,1,1,50,Fine no high winds,Car,2007-06-28 07:10:00
-2.155176,52.818004,1,1,70,Fine no high winds,Car,2007-06-30 19:10:00
-1.678417,52.616927,3,1,30,Fine no high winds,Car,2007-07-07 11:20:00
-2.017383,52.955913,2,3,40,Raining no high winds,Car,2007-07-15 12:17:00
-2.017383,52.955913,2,3,40,Raining no high winds,Car,2007-07-15 12:17:00
-2.017383,52.955913,2,3,40,Raining no high winds,Car,2007-07-15 12:17:00
-1.78675,52.694484,1,1,70,Fine no high winds,Car,2007-07-18 18:05:00
-2.248726,52.985679,1,2,70,Fine no high winds,Goods vehicle,2007-07-19 04:14:00
-2.248726,52.985679,1,2,70,Fine no high winds,Goods vehicle,2007-07-19 04:14:00
-2.263298,52.981422,2,2,60,Fine no high winds,Car,2007-07-24 05:39:00
-2.263298,52.981422,2,2,60,Fine no high winds,Car,2007-07-24 05:39:00
-2.18262,52.99308,2,1,50,Fine no high winds,Car,2007-08-01 19:19:00
-2.079177,52.966406,1,1,40,Fine no high winds,Car,2007-08-05 01:30:00
-1.655258,52.70703,1,2,60,Fine no high winds,Pedal cycle,2007-07-27 09:15:00
-2.059131,52.787615,1,2,30,Fine no high winds,Car,2007-08-25 01:21:00
-2.059131,52.787615,1,2,30,Fine no high winds,Car,2007-08-25 01:21:00
-1.90691,52.688616,1,2,60,Fine no high winds,Car,2007-08-25 08:20:00
-1.90691,52.688616,1,2,60,Fine no high winds,Car,2007-08-25 08:20:00
-1.694136,52.819689,1,2,60,Fine no high winds,Car,2007-09-05 13:00:00
-2.257082,52.988088,1,2,60,Fine no high winds,Car,2007-09-17 13:00:00
-2.257082,52.988088,1,2,60,Fine no high winds,Goods vehicle,2007-09-17 13:00:00
-2.117921,52.814091,1,2,30,Fine no high winds,Pedal cycle,2007-09-18 16:03:00
-2.117921,52.814091,1,2,30,Fine no high winds,Goods vehicle,2007-09-18 16:03:00
-1.964335,53.023779,1,2,60,Fine no high winds,Goods vehicle,2007-09-17 16:05:00
-2.171064,52.51781,2,2,60,Fine no high winds,Car,2007-09-23 15:40:00
-1.797631,52.613235,1,1,70,Raining no high winds,Car,2007-09-28 21:30:00
-2.383171,52.826746,1,2,60,Fine no high winds,Car,2007-10-02 05:07:00
-2.383171,52.826746,1,2,60,Fine no high winds,Goods vehicle,2007-10-02 05:07:00
-1.967897,52.641991,1,1,60,Fine no high winds,Car,2007-10-14 10:03:00
-2.096858,52.816537,2,2,50,Fine no high winds,Car,2007-10-16 07:12:00
-2.254746,52.869432,1,3,60,Fine no high winds,Car,2007-10-19 17:00:00
-2.049282,52.732513,3,2,60,Fine no high winds,Car,2007-10-28 23:20:00
-2.049282,52.732513,3,2,60,Fine no high winds,Car,2007-10-28 23:20:00
-2.012098,52.686135,1,1,30,Fine no high winds,Car,2007-10-28 20:15:00
-1.795296,52.86009,1,2,60,Fine no high winds,Car,2007-10-29 08:25:00
-1.795296,52.86009,1,2,60,Fine no high winds,Goods vehicle,2007-10-29 08:25:00
-2.173219,52.615978,3,2,30,Fine no high winds,Car,2007-11-03 14:15:00
-2.173219,52.615978,3,2,30,Fine no high winds,Car,2007-11-03 14:15:00
-1.694095,52.613912,1,1,30,Fine no high winds,Car,2007-11-24 02:08:00
-1.883241,52.909112,1,2,70,Fine no high winds,Car,2007-11-25 04:00:00
-1.883241,52.909112,1,2,70,Fine no high winds,Goods vehicle,2007-11-25 04:00:00
-1.628596,52.813928,3,1,30,Fine no high winds,Car,2007-12-02 01:25:00
-2.133462,52.655945,2,2,60,Raining no high winds,Car,2007-11-27 10:34:00
-2.133462,52.655945,2,2,60,Raining no high winds,Car,2007-11-27 10:34:00
-2.165454,52.867253,3,2,70,Raining no high winds,Car,2007-12-08 18:06:00
-2.165454,52.867253,3,2,70,Raining no high winds,Car,2007-12-08 18:06:00
-1.84658,52.721726,3,1,60,Fine no high winds,Car,2007-12-09 06:10:00
-2.140781,53.046713,3,3,30,Fine no high winds,Car,2007-12-14 20:56:00
-2.140781,53.046713,3,3,30,Fine no high winds,Car,2007-12-14 20:56:00
-2.140781,53.046713,3,3,30,Fine no high winds,Car,2007-12-14 20:56:00
-2.234748,52.466187,1,1,60,Fine no high winds,Car,2007-12-21 18:20:00
-2.218768,53.041202,1,1,70,Fine no high winds,Goods vehicle,2007-12-27 07:25:00
-2.287918,52.177118,4,1,60,Fine + high winds,Car,2007-01-03 20:50:00
-1.955434,52.106974,2,1,60,Fine no high winds,Car,2007-02-18 01:20:00
-2.229614,52.242877,1,1,70,Fine no high winds,Car,2007-04-20 23:01:00
-2.078855,52.130422,1,1,60,Raining no high winds,Car,2007-06-25 15:30:00
-2.148871,52.273304,1,2,70,Fine no high winds,Car,2007-07-12 17:27:00
-2.307953,52.113503,1,1,30,Fine no high winds,Car,2007-08-27 21:15:00
-1.920931,52.213945,1,3,50,Fine no high winds,Car,2007-09-04 19:50:00
-1.920931,52.213945,1,3,50,Fine no high winds,Car,2007-09-04 19:50:00
-2.018664,52.123344,5,2,60,Fine no high winds,Car,2007-10-02 19:25:00
-2.018664,52.123344,5,2,60,Fine no high winds,Car,2007-10-02 19:25:00
-2.239484,52.172012,1,2,30,Fine no high winds,Car,2007-11-22 17:25:00
